iter	Passed	Remaining
558	5232	4127
559	5239	4116
560	5247	4106
561	5254	4095
562	5261	4084
563	5269	4073
564	5277	4063
565	5285	4052
566	5293	4042
567	5301	4032
568	5311	4022
569	5320	4013
570	5335	4008
571	5346	4000
572	5355	3990
573	5363	3980
574	5371	3970
575	5379	3960
576	5387	3949
577	5394	3938
578	5402	3928
579	5408	3916
580	5416	3906
581	5424	3895
582	5431	3885
583	5439	3874
584	5446	3864
585	5455	3854
586	5463	3843
587	5470	3833
588	5477	3822
589	5485	3811
590	5493	3801
591	5501	3791
592	5508	3780
593	5515	3769
594	5525	3761
595	5534	3751
596	5542	3741
597	5549	3730
598	5557	3720
599	5564	3709
600	5573	3700
601	5581	3689
602	5588	3679
603	5595	3668
604	5603	3658
605	5611	3648
606	5620	3639
607	5629	3629
608	5639	3620
609	5648	3611
610	5657	3602
611	5668	3593
612	5674	3582
613	5684	3573
614	5692	3563
615	5702	3554
616	5711	3545
617	5720	3535
618	5729	3526
619	5738	3516
620	5747	3507
621	5755	3497
622	5765	3488
623	5773	3478
624	5781	3468
625	5788	3458
626	5797	3449
627	5805	3439
628	5814	3429
629	5820	3418
630	5828	3408
631	5836	3398
632	5844	3388
633	5852	3378
634	5858	3367
635	5865	3357
636	5873	3347
637	5882	3337
638	5888	3326
639	5898	3317
640	5905	3307
641	5913	3297
642	5923	3288
643	5931	3278
644	5937	3267
645	5945	3258
646	5954	3248
647	5961	3238
648	5968	3227
649	5976	3218
650	5984	3208
651	5992	3198
652	5999	3188
653	6007	3178
654	6014	3168
655	6022	3158
656	6030	3148
657	6039	3138
658	6046	3128
659	6054	3118
660	6063	3109
661	6071	3099
662	6079	3089
663	6085	3079
664	6092	3069
665	6101	3059
666	6110	3050
667	6118	3040
668	6126	3031
669	6134	3021
670	6141	3011
671	6149	3001
672	6156	2991
673	6163	2981
674	6171	2971
675	6178	2961
676	6186	2951
677	6193	2941
678	6200	2931
679	6208	2921
680	6215	2911
681	6226	2903
682	6237	2894
683	6246	2886
684	6258	2878
685	6267	2868
686	6281	2861
687	6290	2852
688	6299	2843
689	6310	2835
690	6319	2825
691	6329	2817
692	6339	2808
693	6358	2803
694	6371	2795
695	6382	2787
696	6396	2780
697	6405	2771
698	6417	2763
699	6429	2755
700	6441	2747
701	6452	2739
702	6466	2731
703	6480	2724
704	6491	2716
705	6504	2708
706	6519	2701
707	6531	2693
708	6540	2684
709	6550	2675
710	6559	2666
711	6567	2656
712	6576	2647
713	6585	2637
714	6594	2628
715	6602	2619
716	6612	2610
717	6621	2600
718	6629	2591
719	6638	2581
720	6648	2572
721	6658	2563
722	6667	2554
723	6676	2545
724	6688	2536
725	6697	2527
726	6709	2519
727	6720	2510
728	6729	2501
729	6739	2492
730	6751	2484
731	6762	2475
732	6773	2467
733	6790	2460
734	6811	2455
735	6834	2451
736	6849	2444
737	6873	2440
738	6887	2432
739	6898	2423
740	6918	2418
741	6928	2409
742	6939	2400
743	6948	2390
744	6957	2381
745	6968	2372
746	6976	2362
747	6986	2353
748	6996	2344
749	7007	2335
750	7017	2326
751	7026	2317
752	7036	2307
753	7046	2298
754	7055	2289
755	7065	2280
756	7073	2270
757	7082	2261
758	7091	2251
759	7099	2241
760	7107	2232
761	7116	2222
762	7126	2213
763	7135	2204
764	7144	2194
765	7152	2184
766	7161	2175
767	7171	2166
768	7179	2156
769	7188	2147
770	7197	2137
771	7205	2128
772	7215	2118
773	7224	2109
774	7237	2101
775	7246	2091
776	7256	2082
777	7268	2073
778	7277	2064
779	7285	2054
780	7295	2045
781	7306	2036
782	7316	2027
783	7333	2020
784	7349	2012
785	7363	2004
786	7380	1997
787	7395	1989
788	7408	1981
789	7424	1973
790	7441	1966
791	7451	1956
792	7463	1948
793	7472	1938
794	7482	1929
795	7492	1920
796	7502	1910
797	7513	1901
798	7524	1892
799	7534	1883
800	7543	1874
801	7553	1864
802	7563	1855
803	7572	1845
804	7580	1836
805	7587	1826
806	7596	1816
807	7604	1807
808	7614	1797
809	7624	1788
810	7633	1779
811	7642	1769
812	7652	1760
813	7662	1750
814	7672	1741
815	7680	1731
816	7689	1722
817	7697	1712
818	7707	1703
819	7716	1693
820	7725	1684
821	7733	1674
822	7743	1665
823	7752	1655
824	7761	1646
825	7769	1636
826	7778	1627
827	7787	1617
828	7796	1608
829	7805	1598
830	7814	1589
831	7821	1579
832	7828	1569
833	7835	1559
834	7842	1549
835	7849	1539
836	7857	1530
837	7865	1520
838	7872	1510
839	7879	1500
840	7886	1491
841	7894	1481
842	7903	1471
843	7910	1462
844	7917	1452
845	7925	1442
846	7932	1432
847	7940	1423
848	7947	1413
849	7955	1403
850	7962	1394
851	7969	1384
852	7976	1374
853	7984	1364
854	7991	1355
855	7997	1345
856	8004	1335
857	8012	1326
858	8019	1316
859	8027	1306
860	8033	1296
861	8040	1287
862	8049	1277
863	8056	1268
864	8063	1258
865	8071	1248
866	8080	1239
867	8086	1229
868	8093	1220
869	8100	1210
870	8108	1200
871	8115	1191
872	8122	1181
873	8130	1172
874	8137	1162
875	8146	1153
876	8154	1143
877	8161	1134
878	8169	1124
879	8177	1115
880	8187	1105
881	8195	1096
882	8201	1086
883	8209	1077
884	8216	1067
885	8224	1058
886	8230	1048
887	8237	1039
888	8245	1029
889	8253	1020
890	8259	1010
891	8267	1000
892	8274	991
893	8281	981
894	8289	972
895	8296	963
896	8305	953
897	8312	944
898	8320	934
899	8327	925
900	8335	915
901	8343	906
902	8349	896
903	8356	887
904	8364	878
905	8372	868
906	8379	859
907	8387	849
908	8394	840
909	8402	830
910	8409	821
911	8416	812
912	8424	802
913	8431	793
914	8440	784
915	8446	774
916	8454	765
917	8461	755
918	8469	746
919	8475	737
920	8483	727
921	8490	718
922	8498	708
923	8505	699
924	8513	690
925	8521	680
926	8528	671
927	8535	662
928	8542	652
929	8550	643
930	8557	634
931	8564	624
932	8572	615
933	8579	606
934	8586	596
935	8593	587
936	8600	578
937	8608	568
938	8615	559
939	8622	550
940	8630	541
941	8638	531
942	8646	522
943	8654	513
944	8661	504
945	8668	494
946	8676	485
947	8683	476
948	8690	467
949	8699	457
950	8707	448
951	8715	439
952	8722	430
953	8729	420
954	8737	411
955	8744	402
956	8751	393
957	8758	383
958	8765	374
959	8772	365
960	8779	356
961	8787	347
962	8794	337
963	8801	328
964	8808	319
965	8815	310
966	8823	301
967	8830	291
968	8838	282
969	8846	273
970	8854	264
971	8862	255
972	8869	246
973	8876	236
974	8884	227
975	8891	218
976	8899	209
977	8906	200
978	8914	191
979	8922	182
980	8929	172
981	8935	163
982	8941	154
983	8949	145
984	8955	136
985	8962	127
986	8969	118
987	8977	109
988	8984	99
989	8991	90
990	8998	81
991	9006	72
992	9013	63
993	9020	54
994	9028	45
995	9034	36
996	9041	27
997	9049	18
998	9057	9
999	9064	0
